authors,title
"[Maruan Al-Shedivat, Andrew Gordon Wilson, Yunus Saatchi, Zhiting Hu, Eric P. Xing]",Learning Scalable Deep Kernels with Recurrent Structure.
"[Xiangyu Chang, Shaobo Lin, Ding-Xuan Zhou]",Distributed Semi-supervised Learning with Kernel Ridge Regression.
"[Sougata Chaudhuri, Ambuj Tewari]",Online Learning to Rank with Top-k Feedback.
"[Jie Chen, Haim Avron, Vikas Sindhwani]",Hierarchically Compositional Kernels for Scalable Nonparametric Learning.
"[Daniele Durante, Nabanita Mukherjee, Rebecca C. Steorts]",Bayesian Learning of Dynamic Multilayer Networks.
"[Zheng-Chu Guo, Lei Shi, Qiang Wu]",Learning Theory of Distributed Regression with Bias Corrected Regularization Kernel Network.
Jihun Hamm,Minimax Filter - Learning to Preserve Privacy from Inference Attacks.
"[Leonard Hasenclever, Stefan Webb, Thibaut Lienart, Sebastian Vollmer, Balaji Lakshminarayanan, Charles Blundell, Yee Whye Teh]",Distributed Bayesian Learning with Stochastic Natural Gradient Expectation Propagation and the Posterior Server.
Hanwen Huang,Asymptotic behavior of Support Vector Machine for spiked population model.
"[Shaobo Lin, Xin Guo 0003, Ding-Xuan Zhou]",Distributed Learning with Regularized Least Squares.
"[Weiwei Liu, Ivor W. Tsang, Klaus-Robert Müller]",An Easy-to-hard Learning Paradigm for Multiple Classes and Multiple Labels.
"[Yuting Ma, Tian Zheng]",Stabilized Sparse Online Learning for Sparse Data.
"[David Martínez Martínez, Guillem Alenyà, Tony Ribeiro, Katsumi Inoue, Carme Torras]",Relational Reinforcement Learning for Planning with Exogenous Effects.
H. Brendan McMahan,A survey of Algorithms and Analysis for Adaptive Online Learning.
"[Frans A. Oliehoek, Matthijs T. J. Spaan, Bas Terwijn, Philipp Robbel, João V. Messias]",The MADP Toolbox - An Open Source Library for Planning and Learning in (Multi-)Agent Systems.
"[Young Woong Park, Diego Klabjan]",Bayesian Network Learning via Topological Order.
Elena Popovici,Bridging Supervised Learning and Test-Based Co-optimization.
"[Tianlin Shi, Jun Zhu 0001]",Online Bayesian Passive-Aggressive Learning.
"[Ricardo Silva, Shohei Shimizu]",Learning Instrumental Variables with Structural and Non-Gaussianity Assumptions.
"[Jamshid Sourati, Murat Akçakaya, Todd K. Leen, Deniz Erdogmus, Jennifer G. Dy]",Asymptotic Analysis of Objectives Based on Fisher Information in Active Learning.
"[An C. Tran, Jens Dietrich, Hans W. Guesgen, Stephen Marsland]",Parallel Symmetric Class Expression Learning.
"[Tong Wang, Cynthia Rudin, Finale Doshi-Velez, Yimin Liu, Erica Klampfl, Perry MacNeille]",A Bayesian Framework for Learning Rule Sets for Interpretable Classification.
"[Christian Wirth, Riad Akrour, Gerhard Neumann, Johannes Fürnkranz]",A Survey of Preference-Based Reinforcement Learning Methods.
"[Guo Yu, Jacob Bien]",Learning Local Dependence In Ordered Data.
"[Chaimae El Hatri, Mohammed Tahifa, Jaouad Boumhidi]",Extreme Learning Machine-Based Traffic Incidents Detection with Domain Adaptation Transfer Learning.
"[Jie Wang, Liangjian Cai, Xin Zhao]",Multiple-Instance Learning via an RBF Kernel-Based Extreme Learning Machine.
"[Matthias Bussas, Christoph Sawade, Nicolas Kühn, Tobias Scheffer, Niels Landwehr]",Varying-coefficient models for geospatial transfer learning.
"[Simon Cousins, John Shawe-Taylor]",High-probability minimax probability machines.
"[Michele Donini, Fabio Aiolli]",Learning deep kernels in the space of dot product polynomials.
"[Golnoosh Farnadi, Stephen H. Bach, Marie-Francine Moens, Lise Getoor, Martine De Cock]",Soft quantification in statistical relational learning.
"[Masayuki Karasuyama, Hiroshi Mamitsuka]",Adaptive edge weighting for graph-based learning algorithms.
"[Samuel Kolb, Sergey Paramonov 0001, Tias Guns, Luc De Raedt]",Learning constraints in spreadsheets and tabular data.
"[Qi Mao, Li Wang 0033, Ivor W. Tsang]",A unified probabilistic framework for robust manifold learning and embedding.
"[Pawel Matuszyk, Myra Spiliopoulou]",Stream-based semi-supervised learning for recommender systems.
"[Marthinus Christoffel du Plessis, Gang Niu, Masashi Sugiyama]",Class-prior estimation for learning from positive and unlabeled data.
"[Devin Schwab, Soumya Ray]",Offline reinforcement learning with task hierarchies.
"[Kai Ming Ting, Takashi Washio, Jonathan R. Wells, Sunil Aryal]",Defying the gravity of learning curve - a characteristic of nearest neighbour anomaly detectors.
Olivier Wintenberger,Optimal learning with Bernstein online aggregation.
"[Junyu Xuan, Jie Lu 0001, Guangquan Zhang 0001, Richard Yi Da Xu, Xiangfeng Luo]",A Bayesian nonparametric model for multi-label learning.
"[Fei Yu, Min-Ling Zhang]",Maximum margin partial label learning.
"[Nayyar A. Zaidi, Geoffrey I. Webb, Mark James Carman, François Petitjean, Wray L. Buntine, Mike Hynes, Hans De Sterck]",Efficient parameter learning of Bayesian network classifiers.
"[Alon Zweig, Gal Chechik]",Group online adaptive learning.
"[Nasser L. Azad, Ahmad Mozaffari, Alireza Fathi]",An optimal learning-based controller derived from Hamiltonian function combined with a cellular searching strategy for automotive coldstart emissions.
"[Sungwan Bang, Jongkyeong Kang, Myoungshic Jhun, Eunkyung Kim]",Hierarchically penalized support vector machine with grouped variables.
"[Neha Baranwal, Gora Chand Nandi]",An efficient gesture based humanoid learning using wavelet descriptor and MFCC techniques.
"[Sugen Chen, Xiao-Jun Wu]",Multiple birth least squares support vector machine for multi-class classification.
"[Tri Doan, Jugal Kalita]",Predicting run time of classification algorithms using meta-learning.
